Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
1986,May,13.06,33.74,5
1986,Jun,12.07,22.23,2
1986,Jul,12.74,26.32,4
1986,Aug,9.27,16.07,0
1986,Sep,15.4,25.88,6
1986,Oct,11.68,22.65,1
1986,Nov,18.03,34.38,12
1986,Dec,17.78,26.43,13
1987,Jan,18.72,28.92,14
1987,Feb,14.99,27.13,4
1987,Mar,13.64,30.32,4
1987,Apr,15.67,32.55,7
1987,May,14.77,29.55,5
1987,Jun,13.48,28.4,4
1987,Jul,11.3,20.89,1
1987,Aug,11.25,25.26,1
1987,Sep,11.07,21.73,3
1987,Oct,13.08,26.24,3
1987,Nov,15.26,24,7
1987,Dec,17.28,34.79,12
1988,Jan,17.42,31.16,12
1988,Feb,17.95,32.64,12
1988,Mar,18.4,31.16,15
1988,Apr,15.41,30.68,6
1988,May,13.47,26.52,3
1988,Jun,11.77,22.03,1
1988,Jul,12.51,25.64,2
1988,Aug,11.76,19.22,0
1988,Sep,13.28,26.77,6
1988,Oct,14.23,27.85,8
1988,Nov,18.43,32,14
1988,Dec,17.68,32.6,10
1989,Jan,22.48,41.5,20
1989,Feb,14.98,29.46,6
1989,Mar,14.53,27.66,4
1989,Apr,13.58,25.38,3
1989,May,14.83,35.97,5
1989,Jun,11.59,19.16,0
1989,Jul,10.62,18.21,0
1989,Aug,10.58,26.59,2
1989,Sep,11.31,19.72,0
1989,Oct,14.36,27.5,5
1989,Nov,20.43,33.4,14
1989,Dec,17.2,26.15,10
1990,Jan,20.21,33.86,17
1990,Feb,20.79,37.56,15
1990,Mar,13.51,25.62,3
1990,Apr,12.75,19.01,0
1990,May,12.6,26.6,4
1990,Jun,15.01,35.41,6
1990,Jul,10.93,22.49,1
1990,Aug,10.32,24.96,2
1990,Sep,10.85,16.5,0
1990,Oct,20.01,31.46,15
1990,Nov,22.59,40.02,17
1990,Dec,22.09,38.87,19
1991,Jan,17.48,30.91,12
1991,Feb,17.44,31.44,11
1991,Mar,15.34,28.76,9
1991,Apr,15.78,30.15,8
1991,May,13.41,31.07,4
1991,Jun,13.81,22.67,5
1991,Jul,11.87,20.13,1
1991,Aug,9.75,23.25,1
1991,Sep,10.97,20.39,1
1991,Oct,15.88,36.9,7
1991,Nov,18.38,28.2,12
1991,Dec,19.55,34.67,15
1992,Jan,19.47,29.11,17
1992,Feb,12.79,24.21,2
1992,Mar,9.38,17.31,0
1992,Apr,14.98,27.89,7
1992,May,12.64,29.17,3
1992,Jun,11.13,19.82,0
1992,Jul,10.54,21.83,2
1992,Aug,10.7,20.8,1
1992,Sep,17.13,26.54,11
1992,Oct,13.43,23.98,3
1992,Nov,15.21,33.17,7
1992,Dec,17.51,26.76,13
1993,Jan,15.63,31.13,8
1993,Feb,13.29,25.92,2
1993,Mar,14.57,25.91,9
1993,Apr,13.77,22.29,4
1993,May,12.32,25.18,3
1993,Jun,15.04,31.83,5
1993,Jul,11.16,24.38,1
1993,Aug,11.53,24.71,2
1993,Sep,12.18,20.74,1
1993,Oct,14.61,29.32,5
1993,Nov,18.08,30.89,12
1993,Dec,18.88,30.71,14
1994,Jan,17.01,24.62,11
1994,Feb,17.13,34.45,7
1994,Mar,16.79,28.42,11
1994,Apr,13.74,27.13,7
1994,May,13.05,27.04,3
1994,Jun,13.88,28.73,5
1994,Jul,10.28,22.97,2
1994,Aug,9.73,19.45,0
1994,Sep,11.27,20.49,1
1994,Oct,15.47,32.65,6
1994,Nov,18.99,37.46,10
1994,Dec,17.76,32.33,11
1995,Jan,11.88,24.89,4
1995,Feb,17.66,31.17,10
1995,Mar,13.92,25.5,5
1995,Apr,13.03,24.61,5
1995,May,11.89,20.83,1
1995,Jun,10.76,25.92,2
1995,Jul,11.75,23.3,3
1995,Aug,13.38,27.79,3
1995,Sep,11.47,19.78,0
1995,Oct,16.88,29.03,9
1995,Nov,18.38,34.05,11
1995,Dec,15.57,34.2,5
1996,Jan,16.71,37.44,9
1996,Feb,17.78,30.26,13
1996,Mar,15.19,26.69,7
1996,Apr,15.36,34.4,7
1996,May,11.63,24.13,2
1996,Jun,12.91,28.2,4
1996,Jul,10.79,22.21,1
1996,Aug,12.86,27.62,5
1996,Sep,12.62,19.22,0
1996,Oct,15.21,27.14,7
1996,Nov,15.25,26.69,3
1996,Dec,16.93,30.2,7
1997,Jan,15.67,33.18,9
1997,Feb,14.12,24.36,7
1997,Mar,18.42,29.02,11
1997,Apr,14.88,26.74,6
1997,May,12.51,22.57,2
1997,Jun,13.16,24.92,4
1997,Jul,11.96,20.8,2
1997,Aug,10.21,19.29,0
1997,Sep,13.36,30.62,7
1997,Oct,16.11,26.97,11
1997,Nov,14.64,26.32,5
1997,Dec,18.09,29.26,14
1998,Jan,15.84,28.89,9
1998,Feb,10.87,23.55,3
1998,Mar,11.14,20.26,1
1998,Apr,11.58,22.1,2
1998,May,11.63,23.88,1
1998,Jun,13,25.27,2
1998,Jul,10.48,24.18,2
1998,Aug,10.49,15.79,0
1998,Sep,10.28,15.39,0
1998,Oct,12.55,22.04,3
1998,Nov,17.16,32.98,10
1998,Dec,21.13,27.48,17
1999,Jan,19.05,34.69,14
1999,Feb,20.26,38.63,15
1999,Mar,13.05,26.93,4
1999,Apr,13.52,22.65,6
1999,May,14.21,24.07,4
1999,Jun,13.78,21.49,1
1999,Jul,12.99,25.12,2
1999,Aug,11.35,26.05,2
1999,Sep,12.13,26.73,4
1999,Oct,15.7,31.64,8
1999,Nov,17.58,31.85,9
1999,Dec,19.11,27.11,14
2000,Jan,16.19,29.73,8
2000,Feb,13.5,29.5,1
2000,Mar,16,25.91,6
2000,Apr,14.48,23.05,2
2000,May,14.91,25.9,9
2000,Jun,12.85,24.08,4
2000,Jul,11.02,21.96,1
2000,Aug,10.96,19.92,0
2000,Sep,14.52,26.67,6
2000,Oct,12.81,25.46,2
2000,Nov,14.45,26.12,6
2000,Dec,14.36,28.48,8
2001,Jan,15.3,31.5,7
2001,Feb,12.77,27.83,4
2001,Mar,15.78,28.21,8
2001,Apr,15.51,27.32,6
2001,May,17.02,29.73,10
2001,Jun,12.76,22.42,1
2001,Jul,11.73,21.45,2
2001,Aug,10.96,18.61,0
2001,Sep,12.04,26.25,2
2001,Oct,18.16,29.62,14
2001,Nov,16.01,27.67,9
2001,Dec,17.54,32.53,11
2002,Jan,18.06,33.31,12
2002,Feb,18.89,30.27,10
2002,Mar,16.92,29.58,10
2002,Apr,15.23,32.19,9
2002,May,14.36,27.58,6
2002,Jun,14.75,31.62,9
2002,Jul,12.73,23.29,3
