Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
1979,Jan,8.09,14.66,0
1979,Feb,11.77,20.41,1
1979,Mar,10.47,18.17,0
1979,Apr,10.87,19.14,0
1979,May,10.39,17.68,0
1979,Jun,10.38,18.7,0
1979,Jul,8.07,15.83,0
1979,Aug,7.87,15.95,0
1979,Sep,8.52,16.34,0
1979,Oct,9.63,17.85,0
1979,Nov,8.78,14.94,0
1979,Dec,14.18,28.13,6
1980,Jan,11.21,26.53,1
1980,Feb,9.58,21.68,1
1980,Mar,12.42,21.51,2
1980,Apr,10.66,20.34,1
1980,May,9.2,19.22,0
1980,Jun,8.5,19.6,0
1980,Jul,8.83,14.83,0
1980,Aug,9.51,18.45,0
1980,Sep,11.28,17.5,0
1980,Oct,9.56,16.37,0
1980,Nov,11.84,22.81,3
1980,Dec,13.22,22.84,3
1981,Jan,8.03,18.48,0
1981,Feb,11.74,21.77,2
1981,Mar,9.42,19.55,0
1981,Apr,13.83,22.34,3
1981,May,9.07,16.97,0
1981,Jun,12.34,17.64,0
1981,Jul,9.3,18.48,0
1981,Aug,7.34,10.15,0
1981,Sep,8.93,16.52,0
1981,Oct,10.52,17.55,0
1981,Nov,9.88,21.31,1
1981,Dec,11.92,25.63,3
1982,Jan,14.19,26.62,5
1982,Feb,11.93,20.33,1
1982,Mar,11.94,24.24,3
1982,Apr,12.31,20.97,1
1982,May,10.53,20.01,1
1982,Jun,7.42,15.5,0
1982,Jul,9.37,19.36,0
1982,Aug,8.8,15.35,0
1982,Sep,9.84,16.64,0
1982,Oct,10.05,17.29,0
1982,Nov,10.24,18.67,0
1982,Dec,10.93,21.1,2
1983,Jan,11.5,27.07,4
1983,Feb,8.94,15.13,0
1983,Mar,9.65,17.86,0
1983,Apr,9.33,17.17,0
1983,May,10.16,17.37,0
1983,Jun,9.61,19.96,0
1983,Jul,9.9,17.22,0
1983,Aug,7.67,12.8,0
1983,Sep,10.78,18.49,0
1983,Oct,10.05,16.46,0
1983,Nov,10.73,18.39,0
1983,Dec,9.62,20.13,1
1984,Jan,12.45,22.01,3
1984,Feb,10.58,16.67,0
1984,Mar,10.54,16.47,0
1984,Apr,10.59,22.35,2
1984,May,13.17,22.22,2
1984,Jun,10.11,16.9,0
1984,Jul,8.85,17.14,0
1984,Aug,8.95,22.92,1
1984,Sep,10.98,25.86,2
1984,Oct,11.12,23.49,2
1984,Nov,11.49,22.11,1
1984,Dec,12.18,23.39,2
1985,Jan,7.98,14.93,0
1985,Feb,11.84,19.56,0
