Year,Month,Mean Wind Speed (mi/hr),Max Wind Speed (mi/hr),Windy Days
1985,Mar,9.79,17.7,0
1985,Apr,13.76,22.93,5
1985,May,9.85,21.47,2
1985,Jun,10.8,20.66,1
1985,Jul,8.42,14.96,0
1985,Aug,9.08,18.13,0
1985,Sep,11.35,20.9,1
1985,Oct,14.38,23.98,4
1985,Nov,11.81,20.05,1
1985,Dec,9.77,21.93,1
1986,Jan,11.91,22.73,1
1986,Feb,10.42,20.68,1
1986,Mar,11.04,22.16,4
1986,Apr,11.73,18.71,0
1986,May,10.35,25.14,2
1986,Jun,9.48,14.73,0
1986,Jul,9.48,18.24,0
1986,Aug,7.58,12.64,0
1986,Sep,11.15,16.37,0
1986,Oct,8.4,18.58,0
1986,Nov,12.61,23.83,3
1986,Dec,9.44,17.47,0
1987,Jan,10.18,17.82,0
1987,Feb,9.9,23.05,2
1987,Mar,10.48,19.06,0
1987,Apr,11.19,22,3
1987,May,10.09,20.31,1
1987,Jun,9.75,21.23,1
1987,Jul,8.73,16.02,0
1987,Aug,8.68,15.69,0
1987,Sep,8.4,16.99,0
1987,Oct,8.8,17.28,0
1987,Nov,8.94,17.27,0
1987,Dec,11.6,29.21,2
1988,Jan,11.01,19.53,0
1988,Feb,12.46,22.66,2
1988,Mar,13.13,26.43,3
1988,Apr,10.89,21.57,1
1988,May,10.2,18.17,0
1988,Jun,8.67,15.22,0
1988,Jul,9.03,16.85,0
1988,Aug,8.51,13.11,0
1988,Sep,10.04,21.58,1
1988,Oct,10,19.96,0
1988,Nov,12.59,24.17,1
1988,Dec,10.76,26.43,1
1989,Jan,14.45,24.46,7
1989,Feb,10.55,23.98,2
1989,Mar,11.06,20.99,1
1989,Apr,10.91,20.77,2
1989,May,11.34,26.18,2
1989,Jun,8.92,15.14,0
1989,Jul,7.87,12.52,0
1989,Aug,7.76,16.31,0
1989,Sep,8.51,13.69,0
1989,Oct,9.98,20.58,1
1989,Nov,13.9,23.27,4
1989,Dec,10.95,19.31,0
1990,Jan,14.48,23.46,7
1990,Feb,13.47,25.9,3
1990,Mar,9.44,17.64,0
1990,Apr,9.64,15.47,0
1990,May,9.61,19.44,0
1990,Jun,11.02,25.58,3
1990,Jul,8.2,14.18,0
1990,Aug,7.75,16.45,0
1990,Sep,7.84,11.46,0
1990,Oct,14.11,23.3,4
1990,Nov,15.31,27.8,7
1990,Dec,14.35,26.13,4
1991,Jan,12.02,20.99,1
1991,Feb,10.42,23.47,2
1991,Mar,11.82,21.91,2
1991,Apr,12.11,21.45,3
1991,May,10.1,21.15,1
1991,Jun,9.78,16.24,0
1991,Jul,8.99,12.75,0
1991,Aug,7.74,14.51,0
1991,Sep,8.83,12.82,0
1991,Oct,11.24,26.33,2
1991,Nov,11.21,17.46,0
1991,Dec,12.56,23.02,3
1992,Jan,11.15,18.05,0
1992,Feb,8.46,16.28,0
1992,Mar,7.09,12.35,0
1992,Apr,10.94,22.23,2
1992,May,9.66,22.61,1
1992,Jun,8.21,13.55,0
1992,Jul,8.16,16.13,0
1992,Aug,8.16,14.92,0
1992,Sep,12.73,19.05,0
1992,Oct,9.56,17.35,0
1992,Nov,9.65,21.78,1
1992,Dec,12.24,23.33,2
1993,Jan,10.64,23.52,2
1993,Feb,8.66,16.03,0
1993,Mar,9.34,20.98,1
1993,Apr,10.76,17.96,0
1993,May,9.67,18.87,0
1993,Jun,11.92,24.99,3
1993,Jul,8.52,15.49,0
1993,Aug,8.82,17.1,0
1993,Sep,9.38,17.5,0
1993,Oct,9.51,20.82,1
1993,Nov,11.62,23.39,2
1993,Dec,11.68,21.03,1
1994,Jan,11.67,18.7,0
1994,Feb,11.73,22.66,1
1994,Mar,11.14,21.19,3
1994,Apr,10.98,20.51,1
1994,May,9.62,20.09,1
1994,Jun,10.39,22.45,1
1994,Jul,8.13,17.38,0
1994,Aug,8.17,13.7,0
1994,Sep,8.44,13.66,0
1994,Oct,11.18,21.46,2
1994,Nov,12.82,26.49,1
1994,Dec,10.85,18.93,0
1995,Jan,8.71,16.43,0
1995,Feb,12.97,23.49,2
1995,Mar,10.23,18.13,0
1995,Apr,11.49,18.9,0
1995,May,9.44,14.43,0
1995,Jun,8.52,17.12,0
1995,Jul,9.29,16.9,0
1995,Aug,9.24,18.35,0
1995,Sep,8.46,15.15,0
1995,Oct,11.18,21.5,1
1995,Nov,12.27,22.6,4
1995,Dec,10.68,29.32,3
1996,Jan,10.97,19.58,0
1996,Feb,12.17,19.24,0
1996,Mar,11.08,20.82,2
1996,Apr,12.08,27.53,3
1996,May,9.18,18.4,0
1996,Jun,9.44,20.16,1
1996,Jul,8.11,13.19,0
1996,Aug,9.02,18.49,0
1996,Sep,9.47,13.92,0
1996,Oct,10.49,18.54,0
1996,Nov,10.63,17.28,0
1996,Dec,12.77,21.03,1
1997,Jan,10.97,19.4,0
1997,Feb,9.95,19.66,0
1997,Mar,13.1,21.34,3
1997,Apr,11.04,21.93,1
1997,May,9.07,17.83,0
1997,Jun,9.78,18.55,0
1997,Jul,8.69,14.04,0
1997,Aug,8.09,15.29,0
1997,Sep,9.5,22.34,1
1997,Oct,11.82,20.13,2
1997,Nov,9.85,14.56,0
1997,Dec,10.77,19.13,0
1998,Jan,11.54,20.33,1
1998,Feb,8.6,15.61,0
1998,Mar,8.52,15.49,0
1998,Apr,8.99,18.4,0
1998,May,9.5,15.57,0
1998,Jun,10.23,17.91,0
1998,Jul,7.84,16.18,0
1998,Aug,7.56,10.61,0
1998,Sep,7.55,11,0
1998,Oct,8.56,13.66,0
1998,Nov,12.24,23.6,4
1998,Dec,14.5,25.95,5
1999,Jan,12.67,22.04,2
1999,Feb,14.4,28.42,4
1999,Mar,9.83,18.25,0
1999,Apr,10.1,17,0
1999,May,10.85,17.79,0
1999,Jun,10.38,16.58,0
1999,Jul,9.47,17.36,0
1999,Aug,8.49,17.36,0
1999,Sep,9.2,23.28,1
1999,Oct,11.45,23.58,1
1999,Nov,11.74,19.09,0
1999,Dec,12.55,22.84,1
2000,Jan,12,24.07,2
2000,Feb,9.66,20.92,1
2000,Mar,12.42,22.2,3
2000,Apr,10.93,22.02,1
2000,May,10.88,17.76,0
2000,Jun,10.61,20.04,1
2000,Jul,7.63,13.37,0
2000,Aug,8.67,13.81,0
2000,Sep,10.63,18.8,0
2000,Oct,9.46,14.95,0
2000,Nov,9.42,17.01,0
2000,Dec,9.47,23.23,2
2001,Jan,9.22,20.5,1
2001,Feb,9.02,15.81,0
2001,Mar,11.28,21.1,1
2001,Apr,11.36,19.33,0
2001,May,12.36,21.64,4
2001,Jun,9.76,16.8,0
2001,Jul,7.98,14.23,0
2001,Aug,7.84,12.42,0
2001,Sep,9.02,15.4,0
2001,Oct,13.42,26.09,5
2001,Nov,10.46,18.3,0
2001,Dec,11.67,20.76,3
2002,Jan,12.3,23.58,5
2002,Feb,12.09,23.41,2
2002,Mar,13.11,22.54,3
2002,Apr,11.48,23.6,3
2002,May,10.77,20.3,1
2002,Jun,10.51,18.53,0
2002,Jul,9.61,17.75,0
2002,Aug,8.55,14.65,0
2002,Sep,9.65,18.38,0
2002,Oct,9.94,21.25,1
2002,Nov,11.05,20.04,1
2002,Dec,10.78,20.9,1
2003,Jan,10.63,18.08,0
2003,Feb,10.14,16.24,0
2003,Mar,13.12,22.63,4
2003,Apr,9.03,13.29,0
2003,May,9.6,17.42,0
2003,Jun,9.6,16.52,0
2003,Jul,8.34,13.8,0
2003,Aug,8.12,13.64,0
2003,Sep,10.64,19.64,0
2003,Oct,12.97,22.01,4
2003,Nov,13.36,31.36,6
2003,Dec,10.67,16.16,0
2004,Jan,11.07,25.05,1
2004,Feb,8.92,15.45,0
2004,Mar,13,22.46,3
2004,Apr,9.51,19.55,0
2004,May,11.46,19.79,0
2004,Jun,10.15,19.38,0
2004,Jul,8.74,17.38,0
2004,Aug,8.85,15.14,0
2004,Sep,9.53,16.06,0
2004,Oct,10.69,19,0
2004,Nov,10.8,19.52,0
2004,Dec,12.66,23.64,2
2005,Jan,10.45,19.17,0
2005,Feb,9.38,17.51,0
2005,Mar,12.38,22.73,1
2005,Apr,11.98,20.85,1
2005,May,10.28,21.14,1
2005,Jun,10.35,16.36,0
2005,Jul,10.05,16.1,0
2005,Aug,8.69,14.07,0
2005,Sep,10.06,17.86,0
2005,Oct,9.99,19.37,0
2005,Nov,11.3,19.71,0
2005,Dec,11.11,16.49,0
2006,Jan,14.48,23.47,3
2006,Feb,13.47,23.59,3
2006,Mar,10.08,24.94,1
2006,Apr,11.18,19.88,0
2006,May,10.09,16.96,0
2006,Jun,10.37,22.54,2
2006,Jul,8.69,14.68,0
2006,Aug,7.98,15.78,0
2006,Sep,8.98,15.18,0
2006,Oct,10.55,17.7,0
2006,Nov,14.2,23.13,3
2006,Dec,12.08,30.07,3
2007,Jan,12.61,25.76,4
2007,Feb,11.52,25.63,2
2007,Mar,12.35,22.84,1
2007,Apr,11.5,25.8,1
2007,May,10.06,19.03,0
2007,Jun,10.62,19.72,0
2007,Jul,7.47,11.22,0
2007,Aug,8.89,15.6,0
2007,Sep,10.58,15.4,0
2007,Oct,11.64,19.44,0
2007,Nov,12.63,26.83,3
2007,Dec,13.36,24.97,2
2008,Jan,13.95,21.47,2
2008,Feb,12.72,25.15,3
2008,Mar,11.77,20.82,2
2008,Apr,11.98,19.86,0
2008,May,11.55,19.04,0
2008,Jun,11.26,20.43,2
2008,Jul,10.06,19.43,0
2008,Aug,9.87,18.09,0
2008,Sep,8.45,18.54,0
2008,Oct,11.72,23.06,2
2008,Nov,11.88,24.39,2
2008,Dec,12.85,19.76,0
2009,Jan,13.52,26.36,4
2009,Feb,10.14,19.64,0
2009,Mar,12.05,21.18,2
2009,Apr,11.5,26.63,2
2009,May,11.88,21.47,2
2009,Jun,10,18.7,0
2009,Jul,7.82,13.3,0
2009,Aug,9.18,12.58,0
2009,Sep,10.1,18.39,0
2009,Oct,12.86,24.61,4
2009,Nov,13.19,23.67,2
2009,Dec,10.3,21.65,1
2010,Jan,9.53,18.73,0
2010,Feb,7.86,13.1,0
2010,Mar,11.01,21.51,1
2010,Apr,13.75,26.21,5
2010,May,11.34,26.48,2
2010,Jun,10.57,20.99,1
2010,Jul,9.88,23.02,2
2010,Aug,9.72,17.34,0
2010,Sep,10.7,16.71,0
2010,Oct,10.28,19.12,0
2010,Nov,12.21,20.49,1
2010,Dec,12.07,21.69,3
2011,Jan,13.83,23.89,2
2011,Feb,14.12,27.95,6
2011,Mar,12.35,24.35,2
2011,Apr,13.52,20.1,1
2011,May,11.91,24.65,4
2011,Jun,11.57,21.85,1
2011,Jul,10.01,20.17,1
2011,Aug,8.81,16.22,0
2011,Sep,10.05,16.69,0
2011,Oct,11.7,20.11,1
2011,Nov,14.69,25.6,7
2011,Dec,12.49,25.49,3
2012,Jan,14.84,27.64,6
2012,Feb,11.02,25.73,1
2012,Mar,14.79,24.28,4
2012,Apr,12.07,23.15,1
2012,May,12.26,21.13,1
2012,Jun,12.61,20.37,1
2012,Jul,8,14.55,0
2012,Aug,8.44,16.13,0
2012,Sep,9.31,17.02,0
2012,Oct,11.96,23.73,2
2012,Nov,12.37,21.83,1
2012,Dec,13.01,22.59,3
2013,Jan,11.94,21.02,1
2013,Feb,11.94,20.85,2
2013,Mar,10.96,22.63,1
2013,Apr,12.85,24.84,1
2013,May,10.44,21.46,1
2013,Jun,9.53,16.13,0
2013,Jul,8.45,12.61,0
2013,Aug,7.92,13.34,0
2013,Sep,10.45,21.96,2
2013,Oct,10.03,26.32,1
2013,Nov,10.56,19.15,0
2013,Dec,12.89,19.67,0
2014,Jan,12.43,27.91,5
2014,Feb,13.71,23.59,5
2014,Mar,12.98,22.72,2
2014,Apr,12.21,20.79,1
2014,May,8.97,12.99,0
2014,Jun,9.95,17.89,0
2014,Jul,8.82,18.1,0
2014,Aug,7.91,14.18,0
2014,Sep,9.64,17.31,0
2014,Oct,11.88,20.81,1
2014,Nov,13.14,21.63,2
2014,Dec,10.69,18.91,0
2015,Jan,9.94,19.02,0
2015,Feb,9.95,19.45,0
2015,Mar,11.12,17.28,0
2015,Apr,10.6,21.21,1
2015,May,9.51,15.95,0
2015,Jun,8.76,17.41,0
2015,Jul,9.6,14.69,0
2015,Aug,9.57,16.71,0
2015,Sep,10.17,17.65,0
2015,Oct,10.23,25.77,1
2015,Nov,12.15,29.63,3
2015,Dec,11.21,29.07,1
2016,Jan,10.74,16.13,0
2016,Feb,12.04,22.84,1
2016,Mar,11.07,19.87,0
2016,Apr,9.94,22.27,1
2016,May,10.42,22.08,1
2016,Jun,9.63,16.92,0
2016,Jul,9.35,15.95,0
2016,Aug,8.48,17.74,0
2016,Sep,10.67,19.88,0
2016,Oct,11.07,22.37,2
2016,Nov,10.35,17.03,0
2016,Dec,12.32,22.38,2
2017,Jan,9.65,16.55,0
2017,Feb,12.03,21.03,2
2017,Mar,12.12,20.13,1
2017,Apr,10.22,15.21,0
2017,May,9.24,27.29,1
2017,Jun,10.8,18.12,0
2017,Jul,8.07,15.66,0
2017,Aug,7.89,12.97,0
2017,Sep,9.52,16.55,0
2017,Oct,12.89,27.07,3
2017,Nov,12.77,22.15,1
2017,Dec,10.14,18.12,0
2018,Jan,11.45,20.8,1
2018,Feb,13.68,23.04,2
2018,Mar,11.24,20.36,1
2018,Apr,11.07,18.79,0
2018,May,8.91,14.99,0
2018,Jun,11.54,21.03,1
2018,Jul,8.35,16.78,0
2018,Aug,9.18,13.87,0
2018,Sep,9.49,14.76,0
2018,Oct,10.32,18.12,0
2018,Nov,10.51,22.59,2
2018,Dec,11.92,21.47,1
2019,Jan,11.34,18.12,0
2019,Feb,12.14,22.37,2
2019,Mar,9.24,14.99,0
2019,Apr,11.74,20.36,1
2019,May,10.74,19.01,0
2019,Jun,10.6,17,0
2019,Jul,9.24,18.57,0
2019,Aug,8.67,13.87,0
2019,Sep,10.79,23.94,1
2019,Oct,11.94,20.13,1
2019,Nov,10.63,24.83,2
2019,Dec,10.95,24.83,1
2020,Jan,13.24,24.16,2
2020,Feb,13.24,27.74,2
2020,Mar,12.83,23.94,3
2020,Apr,11.78,19.01,0
2020,May,11.55,21.92,1
2020,Jun,11.66,18.34,0
2020,Jul,9.82,16.78,0
2020,Aug,9.5,16.78,0
2020,Sep,10.93,21.03,1
2020,Oct,13,22.82,4
2020,Nov,13,20.8,2
2020,Dec,11.32,23.26,2
2021,Jan,11.31,32.44,3
2021,Feb,13.37,25.28,3
2021,Mar,10.61,24.38,2
2021,Apr,11.42,21.25,1
2021,May,10.92,25.5,1
2021,Jun,9.89,20.36,1
2021,Jul,7.56,12.08,0
2021,Aug,9.24,16.78,0
2021,Sep,10.73,17.9,0
2021,Oct,11.73,20.8,2
2021,Nov,13.77,27.51,3
2021,Dec,13.86,25.72,4
2022,Jan,11.65,23.04,2
2022,Feb,12.75,21.03,2
2022,Mar,11.11,18.79,0
2022,Apr,12.74,26.17,4
2022,May,9.4,13.87,0
